drug,usage,dosage,side_effects
Drug_109,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_110,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_111,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_112,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_113,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_114,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_115,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_116,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_117,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_118,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_119,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_120,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_121,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_122,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_123,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_124,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_125,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_126,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_127,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_128,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_129,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_130,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_131,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_132,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_133,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_134,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_135,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_136,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_137,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_138,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_139,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_140,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_141,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_142,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_143,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_144,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_145,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_146,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_147,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_148,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_149,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_150,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_151,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_152,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_153,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_154,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_155,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_156,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_157,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_158,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_159,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_160,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_161,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_162,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_163,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_164,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_165,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_166,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_167,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_168,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_169,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_170,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_171,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_172,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_173,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_174,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_175,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_176,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_177,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_178,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_179,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_180,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_181,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_182,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_183,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_184,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_185,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_186,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_187,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_188,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_189,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_190,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_191,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_192,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_193,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_194,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_195,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_196,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_197,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_198,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_199,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_200,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_201,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_202,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_203,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_204,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_205,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_206,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_207,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_208,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_209,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_210,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_211,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_212,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_213,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_214,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_215,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_216,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_217,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_218,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_219,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_220,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_221,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_222,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_223,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_224,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_225,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_226,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_227,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_228,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_229,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_230,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_231,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_232,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_233,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_234,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_235,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_236,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_237,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_238,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_239,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_240,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_241,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_242,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_243,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_244,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_245,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_246,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_247,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_248,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_249,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_250,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_251,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_252,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_253,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_254,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_255,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_256,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_257,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_258,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_259,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_260,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_261,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_262,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_263,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_264,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_265,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_266,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_267,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_268,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_269,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_270,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_271,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_272,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_273,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_274,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_275,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_276,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_277,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_278,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_279,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_280,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_281,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_282,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_283,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_284,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_285,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_286,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_287,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_288,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_289,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_290,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_291,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_292,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_293,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_294,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_295,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_296,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_297,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_298,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_299,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_300,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_301,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_302,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_303,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_304,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_305,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_306,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_307,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_308,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_309,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_310,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_311,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_312,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_313,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_314,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_315,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_316,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_317,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_318,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_319,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_320,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_321,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_322,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_323,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_324,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_325,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_326,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_327,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_328,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_329,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_330,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_331,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_332,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_333,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_334,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_335,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_336,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_337,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_338,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_339,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_340,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_341,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_342,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_343,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_344,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_345,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_346,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_347,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_348,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_349,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_350,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Drug_351,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_352,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_353,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_354,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_355,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_356,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_357,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_358,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_359,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_360,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_361,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_362,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_363,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_364,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_365,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_366,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_367,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_368,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
